user_country,friend_country,user_region,friend_region,scaled_sci
DE,ES,DE71,ES51,2464
HR,ES,HR06,ES63,103
ES,HR,ES63,HR06,103
PL,IT,PL21,ITC3,870
IT,PL,ITC3,PL21,870
TR,SE,TRC1,SE23,713
SE,TR,SE23,TRC1,713
FR,FR,FRY4,FRK1,33293
FR,FR,FRK1,FRY4,33293
PT,FR,PT15,FRK1,2658
FR,PT,FRK1,PT15,2658
PT,FR,PT11,FRK1,6252
FR,PT,FRK1,PT11,6252
PT,DE,PT30,DE60,2988
DE,PT,DE60,PT30,2988
TR,DE,TR82,DEA1,3481
DE,TR,DEA1,TR82,3481
NL,GR,NL34,EL65,1622
GR,NL,EL65,NL34,1622
ES,GR,ES30,EL65,701
GR,ES,EL65,ES30,701
TR,SK,TR81,SK04,36
SK,TR,SK04,TR81,36
FR,ES,FRY2,ES41,411
ES,FR,ES41,FRY2,411
IT,ES,ITC1,ES41,1460
ES,IT,ES41,ITC1,1460
TR,AT,TR71,AT11,3003
AT,TR,AT11,TR71,3003
NL,AT,NL11,AT11,1300
AT,NL,AT11,NL11,1300
SE,DE,SE11,DE27,2847
DE,SE,DE27,SE11,2847
DK,DE,DK02,DE27,1189
DE,DK,DE27,DK02,1189
TR,TR,TR32,TR32,3005606
TR,TR,TRB2,TR61,74421
TR,TR,TR61,TRB2,74421
TR,CH,TRC1,CH06,1850
CH,TR,CH06,TRC1,1850
PT,CH,PT15,CH06,18223
CH,PT,CH06,PT15,18223
HR,DE,HR06,DED4,4836
DE,HR,DED4,HR06,4836
TR,TR,TR72,TR31,51585
TR,TR,TR31,TR72,51585
PT,BG,PT20,BG31,188
BG,PT,BG31,PT20,188
CZ,BA,CZ06,BA03,1637
BA,CZ,BA03,CZ06,1637
ES,DE,ES52,DEC0,1324
DE,ES,DEC0,ES52,1324
RS,DK,RS11,DK04,839
DK,RS,DK04,RS11,839
PL,DK,PL92,DK04,1170
DK,PL,DK04,PL92,1170
PT,FR,PT1B,FRD1,1413
FR,PT,FRD1,PT1B,1413
ES,GR,ES24,EL52,492
GR,ES,EL52,ES24,492
PL,GR,PL61,EL52,288
GR,PL,EL52,PL61,288
ES,DE,ES63,DEA4,2257
DE,ES,DEA4,ES63,2257
FR,DE,FRD1,DE21,934
DE,FR,DE21,FRD1,934
RO,FR,RO32,FRY5,202
FR,RO,FRY5,RO32,202
IT,FR,ITH1,FRY5,83
FR,IT,FRY5,ITH1,83
FR,DE,FRI3,DE73,572
DE,FR,DE73,FRI3,572
FR,DE,FRY3,DE73,242
DE,FR,DE73,FRY3,242
FI,BE,FI1C,BE34,392
BE,FI,BE34,FI1C,392
PL,LT,PL71,LT01,1943
LT,PL,LT01,PL71,1943
RS,IT,RS12,ITF2,934
IT,RS,ITF2,RS12,934
TR,IT,TR62,ITF2,84
IT,TR,ITF2,TR62,84
TR,NL,TR52,NL13,855
NL,TR,NL13,TR52,855
ME,DE,ME00,DEA2,7165
DE,ME,DEA2,ME00,7165
DK,DE,DK01,DEA2,3035
DE,DK,DEA2,DK01,3035
PL,CH,PL81,CH05,13517
CH,PL,CH05,PL81,13517
DE,CH,DEF0,CH05,10932
CH,DE,CH05,DEF0,10932
TR,CH,TR32,CH04,2764
CH,TR,CH04,TR32,2764
SE,FR,SE22,FRG0,528
FR,SE,FRG0,SE22,528
TR,CH,TRB1,CH01,1349
CH,TR,CH01,TRB1,1349
PT,FR,PT20,FRF3,1442
FR,PT,FRF3,PT20,1442
FR,BE,FRC1,BE24,2837
BE,FR,BE24,FRC1,2837
SK,BE,SK04,BE24,1489
